Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Adversative Passive	Comitative alternation	Direct Reciprocal	Indirect Reciprocal	Mediopassive	Object deletion	Reflexive deleting alternation	Resultative
Even	46	BLINK	nimrun-	77, 102	1-nom 2-acc V.subj[1]	Never	Never	Never	Never	Marginally	Regularly	Never	Marginally
Even	47	COUGH	hiemken-	13, 98	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Regularly
Even	48	CLIMB	oj-či-	11	1-nom 2-acc V.subj[1]	Marginally	Never	Never	Never	Regularly	Never	Never	Never
Even	49	RUN	tut-	37	1-nom 2-loc V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	50	SIT	tege-t-	44, 78	1-nom 2-loc V.subj[1]	Never	Never	Never	Never	Marginally	Never	Never	Never
Even	51	SIT DOWN	teg-	44, 45, 78	1-nom 2-loc V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Regularly
Even	52	JUMP	melun	23	1-nom 2-loc V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Regularly
Even	53	SING	ike-	43, 96	1-nom 2-acc V.subj[1]	Never	Never	Marginally	Never	Regularly	Regularly	Never	Never
Even	54	GO	hör- (1)	79	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	55	LEAVE	hör- (2)	26	1-nom 2-abl V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	56	LIVE	bi-(s)	28	1-nom 2-loc V.subj[1]	Never	Never	Never	Never	Marginally	Never	Never	Never
Even	57	LAUGH	inin-	80	1-nom V.subj[1]	Never	Never	Marginally	Never	Never	Never	Never	Marginally
Even	58	SCREAM	kuni-	81	1-nom V.subj[1]	Never	Never	Marginally	Never	Never	Never	Never	Never
Even	59	FEEL PAIN	en-	22	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	60	FEEL COLD	iŋem-	3	1-nom V.subj[1]	Marginally	Never	Never	Never	Never	Never	Never	Never
Even	61	DIE	kö’ke-	16, 99	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	62	PLAY	evi-	82	1-nom V.subj[1]	Never	Never	Never	Never	Marginally	Never	Never	Never
Even	63	BE SAD	nabu-t	83	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	64	BE HUNGRY	d’em-	4	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	65	ROLL	hirun-	84	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Regularly
Even	66	SINK	hir-	85	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	67	BURN	dur-	86	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Regularly
Even	68	BE DRY	ileŋ bi-	87	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	69	RAIN	udn-	35, 56	1-nom V.subj[1]	Marginally	Never	Never	Never	Never	Never	Never	Never
Even	70	BE A HUNTER	bujusemŋe bi-	88	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Even	71	GRIND											
Even	72	WIPE	tes-	54	1-nom 2-acc 3-abl V.subj[1]	Regularly	Never	Marginally	Never	Regularly	Never	Never	Never
Even	73	DIG											
Even	74	PUSH											
Even	75	BRING	em-u-	8	1-nom 2-acc 3-dat V.subj[1]	Marginally	Never	Regularly	Never	Regularly	Never	Never	Never
Even	76	STEAL	d’örmi-	46	1-nom 2-acc 3-abl V.subj[1]	Regularly	Never	Marginally	Never	Regularly	Never	Never	Never
Even	77	TEACH											
Even	78	HEAR											
Even	79	COOK											
Even	80	BOIL											
